"","Categoria","Marca","Mean_precio"
"1","tampones","BONTÉ",10.85
"2","tampones","ENJOY",10.94
"3","tampones","EQUATE",16.8661254612546
"4","tampones","FARMACITY",13.12
"5","tampones","INTIMA",5.5
"6","tampones","JUMBO",16.1740236686391
"7","tampones","KOTEX",24.4397765136124
"8","tampones","NOSOTRAS",16.6405882352941
"9","tampones","O.B.",20.428837944664
"10","tampones","TAMPAX",24.2911895424837
"11","tampones","VEA",16.0109829059829
"12","tampones","VISIV",14.7835070422535
"13","toallitas","ALWAYS",26.6576726584674
"14","toallitas","BONTÉ",10.7031827376939
"15","toallitas","CALIPSO",10.2711153846154
"16","toallitas","CAREFREE",0.89
"17","toallitas","COOPERATIVA",9.33197674418605
"18","toallitas","COTIDIAN",57.8014285714286
"19","toallitas","DONCELLA",9.52305418719212
"20","toallitas","ENJOY",19.6542553191489
"21","toallitas","FARMACITY",15.6761811238407
"22","toallitas","KOTEX",22.8312736030829
"23","toallitas","LA ANÓNIMA",9.59535483870968
"24","toallitas","LADYSOFT",17.8024517248861
"25","toallitas","LINA",17.2685188431201
"26","toallitas","NOSOTRAS",21.0524299065421
"27","toallitas","PRIMER PRECIO",14.1977372262774
"28","toallitas","SERENA",11.6866666666667
"29","toallitas","SIEMPRE LIBRE",17.8816811091854
"30","toallitas","SIN MARCA",8.9752688172043
"31","toallitas","TENA",50.6612040133779
