link,user,text,fecha,archivo_imagen
https://instagram.com/p/CAjWLOHFvV3/,primarias_,"[Desliza y activa el sonido 👂🏻👉🏾👉🏽].
¿Por qué no llamamos a la menstruación por su nombre?.
.
Reflexiones sobre la menstruación en #mayo, mes de la visualización de la #menstruación.
.
.
#menstruacción #mujeres",MAY 24,../data/img/51.jpg
https://instagram.com/p/CAgBxSMgPis/,amatulunabarrio31,"Recordando tiempos de calor y feria💗

En cuarentena seguimos menstruando y desde #amatuluna seguimos trabajando!
Estamos muy agradecidas por las donaciones que nos llegaron y que nos permiten seguir produciendo
Ya comenzamos la nueva producción de Toallitelas y Protectores diarios! Estamos donando para quien necesite y vendiendo para quien pueda y quiera apoyarnos!
Siempre los pedidos por MD leyendo previamente toda la info que está publicada!
Además estamos repartiendo #tapabocas para lxs vecinos del Barrio 31.
#amatuluna #cooperativa #trabajo #resistimos #barrio31 #nomiremosparaotrolado #menstruacción",MAY 22,../data/img/52.jpg
https://instagram.com/p/CAeSspJFuJz/,primarias_,"[Desliza y activa el sonido👂🏽👉🏻👉🏿]
.
Conoce la historia de un grupo de mujeres que luchó por erradicar los impuestos a la menstruación en #Colombia. .
Por una menstruación libre de impuestos y de discriminación.
#Mayo, mes de la visibilización del ciclo menstrual.
.
Gracias a @anna_lakarenina por su solidaria voz
#menstruación #menstruacción #mujeres #periodo",MAY 22,../data/img/53.jpg
https://instagram.com/p/CAdIGRpj0iK/,insurrectxs.ms,"El precio anual de toallitas ronda los $2900 y el de los tampones $3800. Este precio puede representar más del 10% de los ingresos de una persona. En nuestro país, como en muchos otros, estos productos están gravados con IVA.
Desde 2017, la campaña argentina #MenstruAcción busca visibilizar la problemática mediante estos reclamos que forman parte del proyecto de ley.
#higienemenstrual",MAY 21,../data/img/54.jpg
https://instagram.com/p/CAbHbaVDgmF/,miuterofeliz,"La #amenorrea es más común de lo que pensamos y no debemos sentir culpa por ello.

Si tienes más de 16 años y nunca has #menstruado o no ha llegado tu período en más de 3 meses y ya descartaste la posibilidad de un #embarazo, es necesario que acudas al médico para evaluar si tienes o no amenorrea. ✨ #MiÚteroFeliz

#MenstruaciónConsciente #menstruation #menstruacción #saludmenstrual #menstruación",MAY 20,../data/img/56.jpg
https://instagram.com/p/CAZSXzmlLhT/,primarias_,"Entrevistamos a mujeres de Chocó y Guainía sobre sus experiencias con la menstruación y esto fue lo que nos contaron. [Audio en las siguientes imágenes 👉🏿👉🏼] .
Imágenes editadas por: @maryjo_kamekura.
.
#mayo, mes de la visibilización del ciclo menstrual.
.
#menstruacción #mujeres #menstruación",MAY 20,../data/img/57.jpg
https://instagram.com/p/CAT4hZOFZf9/,mujeresenmovimientopi,"Economía Feminista 🍷✊🏼En plena pandemia seguimos menstruando y el costo de los productos de gestión menstrual siguen creciendo: durante la emergencia sanitaria, el precio anual de las toallitas ronda los $2900 y de los tampones $3800. Es por eso que Lurodadi presentó ""Ama tu luna"", el proyecto donde más de 40 mujeres se reúnen en la Villa 31 para producir toallitas de tela.

Conocelas acá 👉🏻https://instagram.com/toallitelas.lavables…",MAY 18,../data/img/60.jpg
https://instagram.com/p/CAQMqcDgfgi/,amatulunabarrio31,"Aprovechen que se van rápido!
El envío va por cuenta de quien compre, nosotras elegimos @acabamensajeria 🌈

#toallitelaslavables #amatuluna #cooperativa #menstruación #menstruacción",MAY 16,../data/img/61.jpg
https://instagram.com/p/CAP96ymAaV-/,causascomunes,"🍷💜 La pandemia de #coronavirus nos enfrenta a un escenario en el que las desigualdades se profundizan. Es por eso que @EconomiaFeminita lanzó una colecta destinada a la compra de insumos menstruales en las villas por parte de las compañeras de @lagargantapoderosa. Para donar, ya sea a través de MercadoPago, débito, crédito, efectivo o transferencia, ingresá a www.economiafeminita.com/menstruaccion. ¡Sumate!
.
.
.
.
.
#JusticiaMenstrual #CausasComunes #Menstruacción #Menstruación #Pandemia #Democracia #Insumos",MAY 16,../data/img/62.jpg
https://instagram.com/p/CAPbvJmAosQ/,endospain,"¡Nos sumamos a la campaña #MenstruAcción de @endomadrid_! En plena crisis del covid-19 los productos de higiene menstrual (tampones, compresas, copa...) se han convertido en un lujo fuera del alcance de muchas mujeres.
Si donas a bancos de alimentos o despensas solidarias recuerda incluir productos de higiene menstrual. Las mujeres que hoy no pueden cubrir sus necesidades alimenticias aún menos pueden estos.
Recuerda: la menstruación nos acompaña entre 2 y 7 días al mes (y las mujeres con algún tipo de patología pueden necesitar estos productos muchos días más). ¡Colabora con las entidades de tu zona y dona!

#campañasolidaria #tampones #compresas #copamenstrual #endometriosis #menstruacion #regla",MAY 16,../data/img/63.jpg
